"Termo Original (pt)","Tradução (en)",Área,Observações
"""de boa"" ou ""tranquilão""",,Surf,
"1960s surf culture slang, cried out enthusiastically when surfing.",,Surf,
"A 180-degree directional change where the surfer turns from the shoulder all the way back into the curl before completing the ride.",,Surf,
"A beginner, inexperienced or bad surfer. Someone who doesn’t follow surf etiquette.",,Surf,
"A benign but sometimes irritating or cosmetically undesirable growth on the conjunctiva caused by spending a lot of time outdoors in the sun.",,Surf,
"A big wave board. See Gun.",,Surf,
"A block of foam that will be shaped into a surfboard.",,Surf,
"A closeout wave.",,Surf,
"A compact and portable soft board ridden in a prone position. Bodyboarders may be called boogers, spongers, esky lid riders or speed bumps.",,Surf,
"A competitive period in surf contests.",,Surf,
"A cool person or surfer.",,Surf,
"A defined group of several waves that arrive shortly after one another. Between sets there may be a lull when no waves arrive.",,Surf,
"A derogatory term for a kayak or waveski.",,Surf,
"A garment made of neoprene rubber that provides thermal insulation while in the water.",,Surf,
"A group of people. A gang of surfers.",,Surf,
"A group of swells of similar wavelength.",,Surf,
"A Hawaiian hand gesture used to say ""hello,"" ""great,"" ""cool"" and ""alright"". Commonly used by surfers, with an extended thumb and little finger.",,Surf,
"A heavy reef break coming out of deep water and breaking in shallow water.",,Surf,
"A high volume short board designed to ride very small weak waves.",,Surf,
"A hole, crack, or fracture in your surfboard that should be repaired.",,Surf,
"A large board designed for surfing big waves.",,Surf,
"A leash that connects a bodyboard to your wrist, preventing you from losing your board.",,Surf,
"A leg pumping action that causes the surfer to gain speed while going up and down the face of the wave as they head down the line.",,Surf,
"A length of wood running down the middle of a surfboard to give strength and flexibility.",,Surf,
"A long mass or low ridge of submerged or partially exposed sand built up in the water along a shore or beach by the action of waves or currents.",,Surf,
"A long period swell (10-20+ second interval) that has travelled thousands of miles through the ocean to the coast.",,Surf,
"A long, high sea wave caused by an earthquake or other disturbance.",,Surf,
"A manoeuver where the surfer lays backwards on a wave. One of surfing's more difficult tricks. Simon Anderson was renowned for this move.",,Surf,
"A manoeuver where the surfer rides up and along or over the top of a crumbling wave section, and then comes down with the wave.",,Surf,
"A material used in surfboard manufacturing.",,Surf,
"A much larger wave or set of waves, which breaks further outside than normal, cleaning up the surfers caught further inside. Also called a sneaker set or sleeper set.",,Surf,
"A non-surfer who pretends to surf and frequents surfing beaches.",,Surf,
"A perfectly shaped wave breaking both left and right.",,Surf,
"A performance surfboard, generally 5 to 7 feet long, with a tapered pointy nose.",,Surf,
"A permanent replacement for surf wax, stuck directly to the tail of the surfboard deck. Also called deck grip or a riser pad.",,Surf,
"A person who laminates surfboards using resins and fiberglass.",,Surf,
